7 Faces of Dr. Lao,1964
7th Heaven,1927
8 Mile,2002
12 Years a Slave,2013
20 Feet from Stardom,2013
2001: A Space Odyssey,1968
20000 Leagues Under the Sea,1954
The Abyss,1989
The Accidental Tourist,1988
The Accountant,2001
The Accused,1988
Adaptation,2002
charlieiioa,1995
Adventures of Don Juan,1948
"The Adventures of Priscilla, Queen of the Desert",1994
The Adventures of Robin Hood,1938
Affliction,1997
The African Queen,1951
The Age of Innocence,1993
Air Force,1943
Airport,1970
Aladdin,1992
The Alamo,1960
The Alaskan Eskimo,1953
Albert Schweitzer,1957
Alexander's Ragtime Band,1938
Alice in Wonderland,2010
Alice Doesn't Live Here Anymore,1974
Alien,1979
Aliens,1986
All About Eve,1950
All About My Mother ,1999
All Quiet on the Western Front,1930
All That Jazz,1979
All That Money Can Buy ,1941
All the King's Men,1949
All the President's Men,1976
Almost Famous,2000
Ama Girls,1958
Amadeus,1984
Amarcord,1974
America America,1963
American Beauty,1999
American Dream,1990
An American in Paris,1951
An American Werewolf in London,1981
Amour,2012
Amphibious Fighters,1943
Anastasia,1956
Anchors Aweigh,1945
The Anderson Platoon ,1967
Angel and Big Joe,1975
Anna and the King of Siam,1946
Anna Karenina,2012
Anne Frank Remembered,1995
Anne of the Thousand Days,1969
Annie Get Your Gun,1950
Annie Hall,1977
Anthony Adverse,1936
Antonia's Line ,1995
The Apartment,1960
Apocalypse Now,1979
Apollo 13,1995
The Appointments of Dennis Jennings,1988
